12100000001,SENSEX-INDEX,10,0,0.01,,0915-1530|1815-1915:,2025-11-10,,BSE:SENSEX-INDEX,12,10,1,SENSEX,1,-1.0,XX,12100000001,None,0,0.0
121000000010,S&P BSE PSU-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:PSU-INDEX,12,10,10,PSU,10,-1.0,XX,121000000010,None,0,0.0
121000000011,S&P BSE TECK-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:TECK-INDEX,12,10,11,TECK,11,-1.0,XX,121000000011,None,0,0.0
121000000012,BANKEX-INDEX,10,0,0.01,,0915-1530|1815-1915:,2025-11-10,,BSE:BANKEX-INDEX,12,10,12,BANKEX,12,-1.0,XX,121000000012,None,0,0.0
121000000013,S&P BSE AUTO-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:AUTO-INDEX,12,10,13,AUTO,13,-1.0,XX,121000000013,None,0,0.0
121000000014,S&P BSE METAL-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:METAL-INDEX,12,10,14,METAL,14,-1.0,XX,121000000014,None,0,0.0
121000000015,S&P BSE OIL & GAS-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:OILGAS-INDEX,12,10,15,OILGAS,15,-1.0,XX,121000000015,None,0,0.0
121000000018,S&P BSE DOLLEX 30-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:DOL30-INDEX,12,10,18,DOL30,18,-1.0,XX,121000000018,None,0,0.0
121000000019,S&P BSE DOLLEX 100-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:DOL100-INDEX,12,10,19,DOL100,19,-1.0,XX,121000000019,None,0,0.0
12100000002,S&P BSE 100-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:100-INDEX,12,10,2,100,2,-1.0,XX,12100000002,None,0,0.0
121000000020,S&P BSE DOLLEX 200-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:DOL200-INDEX,12,10,20,DOL200,20,-1.0,XX,121000000020,None,0,0.0
121000000021,S&P BSE REALTY-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:REALTY-INDEX,12,10,21,REALTY,21,-1.0,XX,121000000021,None,0,0.0
121000000022,S&P BSE POWER-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:POWER-INDEX,12,10,22,POWER,22,-1.0,XX,121000000022,None,0,0.0
121000000023,S&P BSE IPO-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:IPO-INDEX,12,10,23,IPO,23,-1.0,XX,121000000023,None,0,0.0
121000000025,S&P BSE GREENEX-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:GREENEX-INDEX,12,10,25,GREENEX,25,-1.0,XX,121000000025,None,0,0.0
121000000026,S&P BSE CARBONEX-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:CARBONEX-INDEX,12,10,26,CARBONEX,26,-1.0,XX,121000000026,None,0,0.0
121000000027,S&P BSE SME IPO-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:SME IPO-INDEX,12,10,27,SME IPO,27,-1.0,XX,121000000027,None,0,0.0
121000000028,S&P BSE India Infrastructure-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:INFRA-INDEX,12,10,28,INFRA,28,-1.0,XX,121000000028,None,0,0.0
121000000029,S&P BSE CPSE-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:CPSE-INDEX,12,10,29,CPSE,29,-1.0,XX,121000000029,None,0,0.0
12100000003,S&P BSE 200-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:200-INDEX,12,10,3,200,3,-1.0,XX,12100000003,None,0,0.0
121000000030,S&P BSE MidCap-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:MIDCAP-INDEX,12,10,30,MIDCAP,30,-1.0,XX,121000000030,None,0,0.0
121000000031,S&P BSE SmallCap-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:SMLCAP-INDEX,12,10,31,SMLCAP,31,-1.0,XX,121000000031,None,0,0.0
121000000032,S&P BSE Fast Moving Consumer Goods-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:FMC-INDEX,12,10,32,FMC,32,-1.0,XX,121000000032,None,0,0.0
121000000033,S&P BSE Healthcare-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:HC-INDEX,12,10,33,HC,33,-1.0,XX,121000000033,None,0,0.0
121000000034,S&P BSE Information Technology-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:IT-INDEX,12,10,34,IT,34,-1.0,XX,121000000034,None,0,0.0
121000000036,S&P BSE AllCap-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:ALLCAP-INDEX,12,10,36,ALLCAP,36,-1.0,XX,121000000036,None,0,0.0
121000000037,S&P BSE Basic Materials-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:BASMTR-INDEX,12,10,37,BASMTR,37,-1.0,XX,121000000037,None,0,0.0
121000000038,S&P BSE Consumer Discretionary Goods & Services-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:CDGS-INDEX,12,10,38,CDGS,38,-1.0,XX,121000000038,None,0,0.0
121000000039,S&P BSE Energy-INDEX,10,1,0.01,,0915-1530|1815-1915:,2018-02-05,,BSE:ENERGY-INDEX,12,10,39,ENERGY,39,-1.0,XX,121000000039,None,0,0.0
